username1,username2,link1,link2,comparison_type,ssim,features2d
aorme,beichhor,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,maps,74.9,94.3
aorme,gillism,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,maps,46.5,100.0
aorme,hutchin5,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,45.9,100.0
aorme,jwbalazs,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,maps,76.5,70.0
aorme,lindunhe,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,76.0,100.0
aorme,marti763,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,67.3,100.0
aorme,mlung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,29.3,65.4
aorme,owen9211,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,45.9,100.0
aorme,peng115,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,45.9,78.7
aorme,ravengao,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,73.4,88.3
aorme,vtung,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,45.9,100.0
aorme,wenjiewu,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,59.2,95.5
aorme,yexin,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,47.7,100.0
aorme,yifeitai,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,45.9,100.0
aorme,yunhan,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,46.5,100.0
aorme,zhan1046,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,34.7,100.0
aorme,zhan2709,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,39.7,100.0
aorme,zhe1994,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,63.8,92.5
aorme,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-aorme/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,45.9,100.0
beichhor,gillism,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,maps,60.5,98.5
beichhor,hutchin5,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,59.1,98.5
beichhor,jwbalazs,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,maps,87.4,70.7
beichhor,lindunhe,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,63.0,90.6
beichhor,marti763,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,92.7,100.0
beichhor,mlung,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,41.2,63.3
beichhor,owen9211,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,59.1,98.5
beichhor,peng115,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,56.6,85.4
beichhor,ravengao,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,79.3,85.4
beichhor,vtung,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,59.1,98.5
beichhor,wenjiewu,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,68.6,98.5
beichhor,yexin,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,59.6,95.5
beichhor,yifeitai,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,59.1,98.5
beichhor,yunhan,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,60.5,98.5
beichhor,zhan1046,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,47.8,75.6
beichhor,zhan2709,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,56.4,84.5
beichhor,zhe1994,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,73.9,95.0
beichhor,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-beichhor/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,59.1,98.5
gillism,hutchin5,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,95.6,100.0
gillism,jwbalazs,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,maps,58.3,71.0
gillism,lindunhe,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,56.3,100.0
gillism,marti763,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,68.0,100.0
gillism,mlung,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,30.3,67.8
gillism,owen9211,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,95.6,100.0
gillism,peng115,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,45.6,78.0
gillism,ravengao,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,47.7,87.0
gillism,vtung,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,95.6,100.0
gillism,wenjiewu,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,41.3,100.0
gillism,yexin,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,62.7,100.0
gillism,yifeitai,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,95.6,100.0
gillism,yunhan,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,100.0,100.0
gillism,zhan1046,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,35.7,100.0
gillism,zhan2709,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,44.8,100.0
gillism,zhe1994,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,46.0,89.3
gillism,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-gillism/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,95.6,100.0
hutchin5,jwbalazs,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,maps,56.8,70.5
hutchin5,lindunhe,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,54.8,100.0
hutchin5,marti763,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,68.0,100.0
hutchin5,mlung,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,29.6,67.4
hutchin5,owen9211,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,100.0,100.0
hutchin5,peng115,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,45.6,71.2
hutchin5,ravengao,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,46.3,87.0
hutchin5,vtung,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,100.0,100.0
hutchin5,wenjiewu,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,40.5,100.0
hutchin5,yexin,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,62.9,100.0
hutchin5,yifeitai,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,100.0,100.0
hutchin5,yunhan,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,95.6,100.0
hutchin5,zhan1046,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,35.1,100.0
hutchin5,zhan2709,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,44.0,100.0
hutchin5,zhe1994,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,45.3,89.5
hutchin5,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-hutchin5/2016-Purdue-Ironhacks-Tutorial-Project.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,100.0,100.0
jwbalazs,lindunhe,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,maps,44.8,69.5
jwbalazs,marti763,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,93.5,100.0
jwbalazs,mlung,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,38.6,61.3
jwbalazs,owen9211,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,56.8,71.0
jwbalazs,peng115,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,38.2,67.0
jwbalazs,ravengao,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,81.1,64.6
jwbalazs,vtung,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,56.8,71.0
jwbalazs,wenjiewu,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,53.0,70.5
jwbalazs,yexin,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,57.3,66.3
jwbalazs,yifeitai,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,56.8,71.0
jwbalazs,yunhan,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,58.3,71.4
jwbalazs,zhan1046,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,39.2,60.1
jwbalazs,zhan2709,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,54.1,63.2
jwbalazs,zhe1994,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,60.5,68.9
jwbalazs,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-jwbalazs/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,56.8,71.0
lindunhe,marti763,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,maps,86.5,100.0
lindunhe,mlung,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,36.6,65.8
lindunhe,owen9211,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,54.8,100.0
lindunhe,peng115,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,27.8,78.3
lindunhe,ravengao,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,61.6,90.1
lindunhe,vtung,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,54.8,100.0
lindunhe,wenjiewu,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,51.4,90.4
lindunhe,yexin,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,55.3,100.0
lindunhe,yifeitai,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,54.8,100.0
lindunhe,yunhan,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,56.3,100.0
lindunhe,zhan1046,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,35.6,100.0
lindunhe,zhan2709,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,51.3,100.0
lindunhe,zhe1994,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,58.4,85.1
lindunhe,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-lindunhe/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,54.8,100.0
marti763,mlung,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,maps,62.6,100.0
marti763,owen9211,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,68.0,100.0
marti763,peng115,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,90.2,100.0
marti763,ravengao,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,94.3,100.0
marti763,vtung,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,68.0,100.0
marti763,wenjiewu,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,86.5,100.0
marti763,yexin,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,67.4,100.0
marti763,yifeitai,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,68.0,100.0
marti763,yunhan,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,68.0,100.0
marti763,zhan1046,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,86.1,100.0
marti763,zhan2709,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,68.2,100.0
marti763,zhe1994,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,73.1,100.0
marti763,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-marti763/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,68.0,100.0
mlung,owen9211,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,maps,29.6,68.7
mlung,peng115,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,40.7,60.7
mlung,ravengao,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,34.0,50.2
mlung,vtung,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,29.6,68.7
mlung,wenjiewu,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,27.8,56.2
mlung,yexin,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,29.8,69.7
mlung,yifeitai,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,29.6,68.7
mlung,yunhan,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,30.3,69.3
mlung,zhan1046,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,34.2,51.8
mlung,zhan2709,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,30.1,61.8
mlung,zhe1994,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,31.1,65.9
mlung,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-mlung/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,29.6,68.7
owen9211,peng115,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,maps,45.6,71.2
owen9211,ravengao,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,46.3,87.0
owen9211,vtung,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,100.0,100.0
owen9211,wenjiewu,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,40.5,100.0
owen9211,yexin,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,62.9,100.0
owen9211,yifeitai,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,100.0,100.0
owen9211,yunhan,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,95.6,100.0
owen9211,zhan1046,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,35.1,100.0
owen9211,zhan2709,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,44.0,100.0
owen9211,zhe1994,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,45.3,89.5
owen9211,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-owen9211/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,100.0,100.0
peng115,ravengao,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,maps,52.9,72.4
peng115,vtung,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,45.6,73.9
peng115,wenjiewu,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,29.0,80.3
peng115,yexin,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,45.3,76.8
peng115,yifeitai,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,45.6,73.9
peng115,yunhan,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,45.6,80.5
peng115,zhan1046,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,37.8,71.5
peng115,zhan2709,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,40.6,73.9
peng115,zhe1994,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,49.4,82.7
peng115,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-peng115/home.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,45.6,73.9
ravengao,vtung,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,maps,46.3,88.3
ravengao,wenjiewu,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,64.2,93.0
ravengao,yexin,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,46.9,85.8
ravengao,yifeitai,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,46.3,88.3
ravengao,yunhan,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,47.7,88.3
ravengao,zhan1046,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,39.1,73.3
ravengao,zhan2709,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-zhan2709/home.html,maps,41.1,74.7
ravengao,zhe1994,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://goldironhack2016.herokuapp.com/p2-zhe1994/home.html,maps,68.0,86.8
ravengao,2016-Purdue-Ironhack-Tutorials,http://goldironhack2016.herokuapp.com/p2-ravengao/freshest_v1.html,http://rawgit.com/priyankjain/2016-Purdue-Ironhack-Tutorials/master/2016-Purdue-Ironhacks-Tutorial-Project.html,maps,46.3,88.3
vtung,wenjiewu,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,http://goldironhack2016.herokuapp.com/p2-wenjiewu/home.html,maps,40.5,100.0
vtung,yexin,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,http://goldironhack2016.herokuapp.com/p2-yexin/home.html,maps,62.9,100.0
vtung,yifeitai,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,http://goldironhack2016.herokuapp.com/p2-yifeitai/home.html,maps,100.0,100.0
vtung,yunhan,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,http://goldironhack2016.herokuapp.com/p2-yunhan/home.html,maps,95.6,100.0
vtung,zhan1046,http://goldironhack2016.herokuapp.com/p2-vtung/home.html,http://goldironhack2016.herokuapp.com/p2-zhan1046/home.html,maps,35.1,100.0
